AL@ALOUI ;oran ;75 ;75 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
302 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
303 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
304 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3050 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
306 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
307 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
308 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
309 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
310 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
120 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
121 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
122 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
123 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
124 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
125 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
126 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
127 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
128 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
129 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
130 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
220 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
221 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
222 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
223 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
224 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
225 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
226 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
227 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
228 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
229 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
230 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
320 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
321 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
322 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
323 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
324 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
BLUE@AZUR ;BLIDA ;67 ;67 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
30 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;13500 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
2 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
6 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
7 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
8 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
9 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
10 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
101 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
102 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
103 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
104 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
105 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
106 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
107 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
108 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
109 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
110 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
201 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
202 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
203 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
204 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
205 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
206 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
207 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
208 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
209 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
301 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
28 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
29 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
120 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
121 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
122 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
123 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
124 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
125 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
126 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
127 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
128 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
129 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
220 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
221 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
222 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
223 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
224 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
225 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
226 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
227 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
228 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
229 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
230 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
231 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
232 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
320 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
321 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
BEST@WESTERN@PLUS ;SETIF ;80 ;80 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
2 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
6 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
7 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
8 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
9 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
10 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
101 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
102 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
103 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
104 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
105 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
106 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
107 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
108 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
109 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
110 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
201 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
202 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
203 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
204 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
205 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
206 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
207 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
208 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
209 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
210 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
301 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
302 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
303 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
304 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3050 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
306 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
307 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
308 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
309 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
310 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
120 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
121 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
122 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
123 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
124 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
125 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
126 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
127 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
128 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
129 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
130 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
220 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
221 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
222 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
223 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
224 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
225 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
226 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
227 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
228 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
229 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
230 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
320 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
321 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
322 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
323 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
324 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
325 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
326 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
327 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
328 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
329 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
CRISTAL ;BEJAIA ;2 ;2 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
30 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;12000 
DIAMANT ;ORAN ;2 ;1 ;1 
33 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;22500 
1 ;i ;o ;12/5/2018 ;13/5/2018 ;mourad ;8500 
HOT_3 ;Oran ;40 ;40 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
6 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
7 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
8 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
9 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
31 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
32 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
33 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
43 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
34 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
35 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
36 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
37 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
38 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
39 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
51 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;5600 
11 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
12 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
13 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
14 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
15 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
16 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
17 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
18 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
53 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
54 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
55 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
56 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
2 ;i ;l ;29/4/2018 ;29/4/2018 ;kdol ;5600 
57 ;d ;l ;29/4/2018 ;29/4/2018 ;amine ;8000 
HILTON ;ALGER ;2 ;2 ;0 
2 ;i ;l ;29/4/2018 ;29/4/2018 ;tomson ;20000 
30 ;d ;l ;29/4/2018 ;29/4/2018 ;mohamed ;34000 
IBIS ;setif ;60 ;56 ;4 
76 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
69 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
68 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
67 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
66 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
59 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
58 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
57 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
56 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
50 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
49 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
48 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
47 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
46 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
40 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
39 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
38 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
37 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
36 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
85 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
84 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
83 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
82 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
81 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
10 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
9 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
8 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
7 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
6 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
20 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
19 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
18 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
17 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
16 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
45 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
44 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
43 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
42 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
41 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
35 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
34 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
33 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
31 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
25 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
24 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
23 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
21 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
14 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
13 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
12 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
11 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
2 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
1 ;i ;l ;21/4/2018 ;21/4/2018 ;abderrahman ;7500 
22 ;i ;o ;12/6/2018 ;18/6/2018 ;zaki ;7500 
77 ;d ;o ;21/4/2018 ;22/4/2018 ;mohamed ;11500 
32 ;i ;o ;25/4/2018 ;30/4/2018 ;lokmane ;7500 
15 ;i ;o ;12/5/2018 ;15/5/2018 ;abderrahmen ;7500 
LES@AURES ;ALGER ;56 ;53 ;3 
76 ;d ;l ;29/4/2018 ;29/4/2018 ;hocine ;11500 
69 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
68 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
67 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
59 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
58 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
57 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
56 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
50 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
49 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
48 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
47 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
46 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
40 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
39 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
38 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
37 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
36 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
85 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
84 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
83 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
82 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
81 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
10 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
8 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
7 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
6 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11500 
20 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
19 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
18 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
17 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
16 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
45 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
44 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
43 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
42 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
41 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
35 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
34 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
33 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
31 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
25 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
24 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
23 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
21 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
15 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
14 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
13 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
12 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
11 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
